date	number_of_smells
1939/01/01	4
1940/01/01	1
1940/01/01	1
1941/01/01	1
1941/01/01	2
1942/01/01	1
1942/01/01	1
1942/01/01	1
1942/01/01	2
1943/01/01	1
1943/01/01	1
1943/01/01	1
1943/01/01	1
1943/01/01	1
1943/01/01	1
1944/01/01	2
1944/01/01	1
1944/01/01	1
1944/01/01	1
1944/01/01	1
1944/01/01	2
1944/01/01	6
1944/01/01	1
1945/01/01	1
1945/01/01	2
1945/01/01	2
1945/01/01	1
1945/01/01	1
1945/01/01	1
1946/01/01	1
1946/01/01	1
1946/01/01	2
1946/01/01	1
1946/01/01	1
1946/01/01	2
1946/01/01	2
1946/01/01	3
1946/01/01	1
1947/01/01	3
1947/01/01	2
1947/01/01	1
1947/01/01	1
1947/01/01	2
1947/01/01	2
1947/01/01	4
1947/01/01	1
1948/01/01	1
1948/01/01	9
1948/01/01	1
1948/01/01	1
1948/01/01	3
1948/01/01	1
1948/01/01	1
1948/01/01	1
1948/01/01	1
1948/01/01	3
1948/01/01	3
1948/01/01	1
1948/01/01	2
1948/01/01	1
1948/01/01	1
1949/01/01	2
1949/01/01	2
1949/01/01	7
1949/01/01	1
1949/01/01	1
1949/01/01	2
1949/01/01	2
1949/01/01	2
1949/01/01	1
1949/01/01	10
1949/01/01	1
1949/01/01	3
1949/01/01	1
1949/01/01	2
1949/01/01	1
1949/01/01	1
1950/01/01	1
1950/01/01	1
1950/01/01	8
1950/01/01	1
1950/01/01	2
1950/01/01	1
1950/01/01	2
1950/01/01	1
1950/01/01	2
1950/01/01	3
1950/01/01	2
1950/01/01	1
1950/01/01	12
1950/01/01	6
1950/01/01	3
1950/01/01	1
1950/01/01	1
1950/01/01	1
1950/01/01	1
1950/01/01	1
1950/01/01	3
1951/01/01	3
1951/01/01	9
1951/01/01	2
1951/01/01	1
1951/01/01	3
1951/01/01	2
1951/01/01	3
1951/01/01	1
1951/01/01	2
1951/01/01	1
1951/01/01	1
1951/01/01	5
1951/01/01	3
1951/01/01	4
1951/01/01	4
1951/01/01	1
1951/01/01	2
1951/01/01	1
1951/01/01	1
1951/01/01	1
1952/01/01	7
1952/01/01	1
1952/01/01	5
1952/01/01	2
1952/01/01	5
1952/01/01	2
1952/01/01	1
1952/01/01	2
1952/01/01	1
1952/01/01	1
1952/01/01	3
1952/01/01	2
1952/01/01	3
1952/01/01	2
1952/01/01	3
1952/01/01	1
1953/01/01	7
1953/01/01	1
1953/01/01	5
1953/01/01	3
1953/01/01	2
1953/01/01	2
1953/01/01	2
1953/01/01	3
1953/01/01	4
1953/01/01	1
1953/01/01	9
1953/01/01	2
1953/01/01	4
1953/01/01	1
1953/01/01	3
1953/01/01	1
1953/01/01	1
1953/01/01	1
1953/01/01	1
1954/01/01	2
1954/01/01	1
1954/01/01	8
1954/01/01	2
1954/01/01	1
1954/01/01	3
1954/01/01	1
1954/01/01	1
1954/01/01	5
1954/01/01	1
1954/01/01	3
1954/01/01	2
1954/01/01	2
1954/01/01	2
1954/01/01	2
1954/01/01	6
1954/01/01	1
1954/01/01	3
1955/01/01	3
1955/01/01	5
1955/01/01	1
1955/01/01	3
1955/01/01	3
1955/01/01	2
1955/01/01	2
1955/01/01	1
1955/01/01	4
1955/01/01	4
1955/01/01	1
1955/01/01	1
1955/01/01	1
1955/01/01	1
1955/01/01	5
1955/01/01	1
1955/01/01	1
1955/01/01	1
1956/01/01	1
1956/01/01	8
1956/01/01	1
1956/01/01	2
1956/01/01	2
1956/01/01	2
1956/01/01	2
1956/01/01	2
1956/01/01	1
1956/01/01	2
1956/01/01	2
1956/01/01	1
1956/01/01	2
1956/01/01	5
1956/01/01	1
1956/01/01	6
1956/01/01	5
1956/01/01	1
1956/01/01	5
1956/01/01	2
1956/01/01	3
1956/01/01	4
1957/01/01	3
1957/01/01	1
1957/01/01	4
1957/01/01	2
1957/01/01	2
1957/01/01	1
1957/01/01	1
1957/01/01	2
1957/01/01	2
1957/01/01	2
1957/01/01	2
1957/01/01	2
1957/01/01	1
1957/01/01	2
1957/01/01	3
1957/01/01	1
1957/01/01	1
1957/01/01	1
1957/01/01	1
1957/01/01	5
1957/01/01	1
1957/01/01	10
1957/01/01	4
1958/01/01	1
1958/01/01	5
1958/01/01	1
1958/01/01	1
1958/01/01	2
1958/01/01	1
1958/01/01	3
1958/01/01	3
1958/01/01	2
1958/01/01	3
1958/01/01	1
1958/01/01	1
1958/01/01	1
1958/01/01	1
1958/01/01	2
1958/01/01	1
1958/01/01	2
1958/01/01	1
1958/01/01	3
1958/01/01	1
1958/01/01	1
1959/01/01	9
1959/01/01	2
1959/01/01	1
1959/01/01	2
1959/01/01	2
1959/01/01	5
1959/01/01	1
1959/01/01	2
1959/01/01	2
1959/01/01	3
1959/01/01	1
1959/01/01	1
1959/01/01	4
1959/01/01	1
1959/01/01	2
1959/01/01	3
1959/01/01	2
1959/01/01	2
1959/01/01	4
1959/01/01	1
1959/01/01	9
1959/01/01	5
1960/01/01	7
1960/01/01	3
1960/01/01	1
1960/01/01	1
1960/01/01	5
1960/01/01	5
1960/01/01	2
1960/01/01	2
1960/01/01	3
1960/01/01	3
1960/01/01	1
1960/01/01	2
1960/01/01	1
1960/01/01	1
1960/01/01	6
1960/01/01	2
1960/01/01	2
1960/01/01	1
1960/01/01	3
1960/01/01	2
1960/01/01	4
1960/01/01	4
1960/01/01	3
1960/01/01	1
1961/01/01	3
1961/01/01	1
1961/01/01	8
1961/01/01	3
1961/01/01	1
1961/01/01	3
1961/01/01	3
1961/01/01	4
1961/01/01	2
1961/01/01	1
1961/01/01	3
1961/01/01	1
1961/01/01	1
1961/01/01	1
1961/01/01	6
1961/01/01	1
1961/01/01	4
1961/01/01	1
1961/01/01	1
1961/01/01	2
1961/01/01	1
1962/01/01	1
1962/01/01	1
1962/01/01	3
1962/01/01	3
1962/01/01	1
1962/01/01	3
1962/01/01	3
1962/01/01	5
1962/01/01	2
1962/01/01	1
1962/01/01	6
1962/01/01	6
1962/01/01	1
1962/01/01	1
1962/01/01	7
1962/01/01	4
1962/01/01	1
1962/01/01	7
1962/01/01	1
1962/01/01	1
1962/01/01	2
1962/01/01	2
1963/01/01	3
1963/01/01	7
1963/01/01	2
1963/01/01	1
1963/01/01	4
1963/01/01	1
1963/01/01	3
1963/01/01	2
1963/01/01	1
1963/01/01	7
1963/01/01	5
1963/01/01	1
1963/01/01	2
1963/01/01	6
1963/01/01	1
1963/01/01	3
1963/01/01	1
1963/01/01	3
1963/01/01	3
1963/01/01	4
1963/01/01	1
1963/01/01	1
1964/01/01	2
1964/01/01	1
1964/01/01	8
1964/01/01	1
1964/01/01	1
1964/01/01	3
1964/01/01	1
1964/01/01	1
1964/01/01	5
1964/01/01	6
1964/01/01	1
1964/01/01	2
1964/01/01	11
1964/01/01	1
1964/01/01	2
1964/01/01	2
1964/01/01	1
1964/01/01	1
1964/01/01	2
1965/01/01	2
1965/01/01	1
1965/01/01	7
1965/01/01	2
1965/01/01	1
1965/01/01	2
1965/01/01	4
1965/01/01	1
1965/01/01	4
1965/01/01	6
1965/01/01	1
1965/01/01	1
1965/01/01	3
1965/01/01	2
1966/01/01	2
1966/01/01	7
1966/01/01	1
1966/01/01	1
1966/01/01	2
1966/01/01	1
1966/01/01	2
1966/01/01	3
1966/01/01	1
1966/01/01	5
1966/01/01	1
1966/01/01	1
1966/01/01	2
1966/01/01	2
1966/01/01	2
1967/01/01	5
1967/01/01	1
1967/01/01	1
1967/01/01	2
1967/01/01	3
1967/01/01	1
1967/01/01	9
1967/01/01	2
1967/01/01	2
1967/01/01	1
1967/01/01	1
1967/01/01	2
1967/01/01	2
1968/01/01	1
1968/01/01	11
1968/01/01	1
1968/01/01	1
1968/01/01	2
1968/01/01	1
1968/01/01	1
1968/01/01	1
1968/01/01	1
1968/01/01	4
1968/01/01	1
1968/01/01	1
1968/01/01	4
1968/01/01	9
1968/01/01	3
1968/01/01	1
1969/01/01	1
1969/01/01	1
1969/01/01	4
1969/01/01	1
1969/01/01	1
1969/01/01	3
1969/01/01	1
1969/01/01	1
1969/01/01	2
1969/01/01	3
1969/01/01	1
1969/01/01	21
1969/01/01	2
1969/01/01	3
1970/01/01	1
1970/01/01	2
1970/01/01	6
1970/01/01	1
1970/01/01	6
1970/01/01	1
1970/01/01	3
1970/01/01	1
1970/01/01	2
1970/01/01	1
1970/01/01	2
1970/01/01	18
1970/01/01	5
1971/01/01	3
1971/01/01	5
1971/01/01	3
1971/01/01	1
1971/01/01	3
1971/01/01	12
1971/01/01	2
1971/01/01	2
1971/01/01	6
1971/01/01	5
1971/01/01	1
1971/01/01	1
1971/01/01	1
1971/01/01	2
1971/01/01	10
1971/01/01	2
1971/01/01	1
1972/01/01	2
1972/01/01	4
1972/01/01	2
1972/01/01	3
1972/01/01	1
1972/01/01	5
1972/01/01	2
1972/01/01	3
1972/01/01	1
1972/01/01	3
1972/01/01	1
1972/01/01	1
1972/01/01	7
1972/01/01	6
1972/01/01	2
1973/01/01	1
1973/01/01	2
1973/01/01	1
1973/01/01	1
1973/01/01	5
1973/01/01	3
1973/01/01	2
1973/01/01	1
1976/01/01	4
1978/01/01	1
